fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;quality-binned;type-red;type-white
6.8;0.775;0.0;3.0;0.102;8.0;23.0;0.9591137461741324;3.45;0.56;0.7181208053691275;5;Medium;True;False
7.0;0.5;0.25;2.0;0.07;3.0;22.0;0.9589212496871932;3.25;0.63;0.6174496644295301;5;Medium;True;False
7.6;0.9;0.06;2.5;0.079;5.0;10.0;0.9593062426610715;3.39;0.56;0.6577181208053692;5;Medium;True;False
8.1;0.545;0.18;1.9;0.08;13.0;35.0;0.9597874838784192;3.3;0.59;0.6040268456375839;6;Medium;True;False
8.3;0.61;0.3;2.1;0.084;11.0;50.0;0.9597874838784192;3.4;0.61;0.6845637583892616;6;Medium;True;False
7.8;0.5;0.3;1.9;0.075;8.0;22.0;0.958536256713315;3.31;0.56;0.697986577181208;6;Medium;True;False
8.1;0.575;0.22;2.1;0.077;12.0;65.0;0.9593062426610715;3.29;0.51;0.6174496644295301;5;Medium;True;False
7.2;0.49;0.24;2.2;0.07;5.0;36.0;0.9586325049567845;3.33;0.48;0.6308724832214765;5;Medium;True;False
7.8;0.41;0.68;1.7;0.467;18.0;69.0;0.9598837321218887;3.08;1.31;0.6241610738255033;5;Medium;True;False
6.2;0.63;0.31;1.7;0.088;15.0;64.0;0.9594987391480105;3.46;0.79;0.6241610738255033;5;Medium;True;False
8.0;0.33;0.53;2.5;0.091;18.0;80.0;0.9601724768522975;3.37;0.8;0.6442953020134228;6;Medium;True;False
8.1;0.785;0.52;2.0;0.122;37.0;153.0;0.9594987391480105;3.21;0.69;0.6241610738255033;5;Medium;True;False
7.8;0.56;0.19;1.8;0.104;12.0;47.0;0.9590174979306627;3.19;0.93;0.6375838926174496;5;Medium;True;False
8.4;0.62;0.09;2.2;0.084;11.0;108.0;0.9590174979306627;3.15;0.66;0.6577181208053692;5;Medium;True;False
8.4;0.6;0.1;2.2;0.085;14.0;111.0;0.9590174979306627;3.15;0.66;0.6577181208053692;5;Medium;True;False
10.1;0.31;0.44;2.3;0.08;22.0;46.0;0.9613274557739321;3.32;0.67;0.6510067114093959;6;Medium;True;False
9.4;0.4;0.31;2.2;0.09;13.0;62.0;0.9592099944176019;3.07;0.63;0.7046979865771812;6;Medium;True;False
8.3;0.54;0.28;1.9;0.077;11.0;40.0;0.9603649733392365;3.39;0.61;0.6711409395973155;6;Medium;True;False
7.8;0.56;0.12;2.0;0.082;7.0;28.0;0.9595949873914801;3.37;0.5;0.6308724832214765;6;Medium;True;False
8.8;0.55;0.04;2.2;0.119;14.0;56.0;0.9588250014437236;3.21;0.6;0.7315436241610739;6;Medium;True;False
7.0;0.69;0.08;1.8;0.097;22.0;89.0;0.958536256713315;3.34;0.54;0.6174496644295301;6;Medium;True;False
7.3;1.07;0.09;1.7;0.178;10.0;89.0;0.9588250014437236;3.3;0.57;0.6040268456375839;5;Medium;True;False
7.3;0.695;0.0;2.5;0.075;3.0;13.0;0.9605574698261756;3.49;0.52;0.6174496644295301;5;Medium;True;False
8.0;0.71;0.0;2.6;0.08;11.0;34.0;0.9601724768522975;3.44;0.53;0.6375838926174496;5;Medium;True;False
7.8;0.5;0.17;1.6;0.082;21.0;102.0;0.9586325049567845;3.39;0.48;0.6375838926174496;5;Medium;True;False
9.0;0.62;0.04;1.9;0.146;27.0;90.0;0.9609424628000538;3.16;0.7;0.6308724832214765;5;Medium;True;False
8.2;1.33;0.0;1.7;0.081;3.0;12.0;0.9590174979306627;3.53;0.49;0.7315436241610739;5;Medium;True;False
8.1;1.33;0.0;1.8;0.082;3.0;12.0;0.9590174979306627;3.54;0.48;0.7315436241610739;5;Medium;True;False
8.0;0.59;0.16;1.8;0.065;3.0;16.0;0.9588250014437236;3.42;0.92;0.7046979865771812;7;High;True;False
6.1;0.38;0.15;1.8;0.072;6.0;19.0;0.9581512637394368;3.42;0.57;0.6308724832214765;5;Medium;True;False
8.0;0.745;0.56;2.0;0.118;30.0;134.0;0.959402490904541;3.24;0.66;0.6308724832214765;5;Medium;True;False
5.6;0.5;0.09;2.3;0.049;17.0;99.0;0.9564187953569847;3.63;0.63;0.87248322147651;5;Medium;True;False
6.6;0.5;0.01;1.5;0.06;17.0;26.0;0.9578625190090281;3.4;0.58;0.6577181208053692;6;Medium;True;False
7.9;1.04;0.05;2.2;0.084;13.0;29.0;0.958536256713315;3.22;0.55;0.6644295302013423;6;Medium;True;False
8.4;0.745;0.11;1.9;0.09;16.0;63.0;0.9591137461741324;3.19;0.82;0.6442953020134228;5;Medium;True;False
8.3;0.715;0.15;1.8;0.089;10.0;52.0;0.959402490904541;3.23;0.77;0.6375838926174496;5;Medium;True;False
7.2;0.415;0.36;2.0;0.081;13.0;45.0;0.9597874838784192;3.48;0.64;0.6174496644295301;5;Medium;True;False
7.8;0.56;0.19;2.1;0.081;15.0;105.0;0.9588250014437236;3.33;0.54;0.6375838926174496;5;Medium;True;False
7.8;0.56;0.19;2.0;0.081;17.0;108.0;0.9588250014437236;3.32;0.54;0.6375838926174496;5;Medium;True;False
5.2;0.34;0.0;1.8;0.05;27.0;63.0;0.9543975822441241;3.68;0.79;0.9395973154362416;6;Medium;True;False
6.3;0.39;0.08;1.7;0.066;3.0;20.0;0.9580550154959672;3.34;0.58;0.6308724832214765;5;Medium;True;False
8.1;0.67;0.55;1.8;0.117;32.0;141.0;0.959402490904541;3.17;0.62;0.6308724832214765;5;Medium;True;False
5.8;0.68;0.02;1.8;0.087;21.0;94.0;0.9570925330612716;3.54;0.52;0.6711409395973155;5;Medium;True;False
7.6;0.49;0.26;1.6;0.236;10.0;88.0;0.959402490904541;3.11;0.8;0.6241610738255033;5;Medium;True;False
6.9;0.49;0.1;2.3;0.074;12.0;30.0;0.958536256713315;3.42;0.58;0.6845637583892616;6;Medium;True;False
8.2;0.4;0.44;2.8;0.089;11.0;43.0;0.9600762286088279;3.53;0.61;0.7046979865771812;6;Medium;True;False
7.3;0.33;0.47;2.1;0.077;5.0;11.0;0.9584400084698455;3.33;0.53;0.6912751677852349;6;Medium;True;False
9.2;0.52;1.0;3.4;0.61;32.0;69.0;0.9620974417216887;2.74;2.0;0.6308724832214765;4;Low;True;False
7.5;0.6;0.03;1.8;0.095;25.0;99.0;0.957670022522089;3.35;0.54;0.6778523489932885;5;Medium;True;False
7.1;0.43;0.42;5.5;0.07;29.0;129.0;0.9598837321218887;3.42;0.72;0.7046979865771812;5;Medium;True;False
7.1;0.43;0.42;5.5;0.071;28.0;128.0;0.9598837321218887;3.42;0.71;0.7046979865771812;5;Medium;True;False
7.1;0.68;0.0;2.2;0.073;12.0;22.0;0.9594987391480105;3.48;0.5;0.6241610738255033;5;Medium;True;False
6.8;0.6;0.18;1.9;0.079;18.0;86.0;0.959402490904541;3.59;0.57;0.6241610738255033;6;Medium;True;False
7.6;0.95;0.03;2.0;0.09;7.0;20.0;0.958536256713315;3.2;0.56;0.6442953020134228;5;Medium;True;False
7.6;0.68;0.02;1.3;0.072;9.0;20.0;0.9591137461741324;3.17;1.08;0.6174496644295301;4;Low;True;False
7.8;0.53;0.04;1.7;0.076;17.0;31.0;0.9590174979306627;3.33;0.56;0.6711409395973155;6;Medium;True;False
7.4;0.6;0.26;7.3;0.07;36.0;121.0;0.9607499663131147;3.37;0.49;0.6308724832214765;5;Medium;True;False
7.3;0.59;0.26;7.2;0.07;35.0;121.0;0.9606537180696452;3.37;0.49;0.6308724832214765;5;Medium;True;False
7.8;0.63;0.48;1.7;0.1;14.0;96.0;0.9587287532002541;3.19;0.62;0.6375838926174496;5;Medium;True;False
6.8;0.64;0.1;2.1;0.085;18.0;101.0;0.9582475119829064;3.34;0.52;0.6845637583892616;5;Medium;True;False
7.3;0.55;0.03;1.6;0.072;17.0;42.0;0.9582475119829064;3.37;0.48;0.6040268456375839;4;Low;True;False
6.8;0.63;0.07;2.1;0.089;11.0;44.0;0.9579587672524976;3.47;0.55;0.697986577181208;6;Medium;True;False
7.5;0.705;0.24;1.8;0.36;15.0;63.0;0.9590174979306627;3.0;1.59;0.6375838926174496;5;Medium;True;False
7.9;0.885;0.03;1.8;0.058;4.0;8.0;0.9597874838784192;3.36;0.33;0.610738255033557;4;Low;True;False
8.0;0.42;0.17;2.0;0.073;6.0;18.0;0.9597874838784192;3.29;0.61;0.6174496644295301;6;Medium;True;False
7.4;0.62;0.05;1.9;0.068;24.0;42.0;0.9587287532002541;3.42;0.57;0.7718120805369127;6;Medium;True;False
7.3;0.38;0.21;2.0;0.08;7.0;35.0;0.9587287532002541;3.33;0.47;0.6375838926174496;5;Medium;True;False
6.9;0.5;0.04;1.5;0.085;19.0;49.0;0.9584400084698455;3.35;0.78;0.6375838926174496;5;Medium;True;False
7.5;0.52;0.42;2.3;0.087;8.0;38.0;0.9597874838784192;3.58;0.61;0.7046979865771812;6;Medium;True;False
7.0;0.805;0.0;2.5;0.068;7.0;20.0;0.9594987391480105;3.48;0.56;0.6442953020134228;5;Medium;True;False
8.8;0.61;0.14;2.4;0.067;10.0;42.0;0.9594987391480105;3.19;0.59;0.6375838926174496;5;Medium;True;False
8.9;0.61;0.49;2.0;0.27;23.0;110.0;0.9597874838784192;3.12;1.02;0.6241610738255033;5;Medium;True;False
7.2;0.73;0.02;2.5;0.076;16.0;42.0;0.9597874838784192;3.44;0.52;0.6241610738255033;5;Medium;True;False
6.8;0.61;0.2;1.8;0.077;11.0;65.0;0.9596912356349496;3.54;0.58;0.6241610738255033;5;Medium;True;False
6.7;0.62;0.21;1.9;0.079;8.0;62.0;0.9595949873914801;3.52;0.58;0.6241610738255033;6;Medium;True;False
8.9;0.31;0.57;2.0;0.111;26.0;85.0;0.9596912356349496;3.26;0.53;0.6510067114093959;5;Medium;True;False
7.4;0.39;0.48;2.0;0.082;14.0;67.0;0.9597874838784192;3.34;0.55;0.6174496644295301;5;Medium;True;False
7.7;0.705;0.1;2.6;0.084;9.0;26.0;0.9601724768522975;3.39;0.49;0.6510067114093959;5;Medium;True;False
7.9;0.5;0.33;2.0;0.084;15.0;143.0;0.959402490904541;3.2;0.55;0.6375838926174496;5;Medium;True;False
7.9;0.49;0.32;1.9;0.082;17.0;144.0;0.959402490904541;3.2;0.55;0.6375838926174496;5;Medium;True;False
8.2;0.5;0.35;2.9;0.077;21.0;127.0;0.9601724768522975;3.23;0.62;0.6308724832214765;5;Medium;True;False
6.4;0.37;0.25;1.9;0.074;21.0;49.0;0.9599799803653583;3.57;0.62;0.6577181208053692;6;Medium;True;False
6.8;0.63;0.12;3.8;0.099;16.0;126.0;0.9594987391480105;3.28;0.61;0.6375838926174496;5;Medium;True;False
7.6;0.55;0.21;2.2;0.071;7.0;28.0;0.9590174979306627;3.28;0.55;0.6510067114093959;5;Medium;True;False
7.8;0.59;0.33;2.0;0.074;24.0;120.0;0.959402490904541;3.25;0.54;0.6308724832214765;5;Medium;True;False
7.3;0.58;0.3;2.4;0.074;15.0;55.0;0.959402490904541;3.46;0.59;0.6845637583892616;5;Medium;True;False
11.5;0.3;0.6;2.0;0.067;12.0;27.0;0.9606537180696452;3.11;0.97;0.6778523489932885;6;Medium;True;False
5.4;0.835;0.08;1.2;0.046;13.0;93.0;0.9551675681918804;3.57;0.85;0.87248322147651;7;High;True;False
6.9;1.09;0.06;2.1;0.061;12.0;31.0;0.9574775260351499;3.51;0.43;0.7651006711409396;4;Low;True;False
9.6;0.32;0.47;1.4;0.056;9.0;24.0;0.9595468632697454;3.22;0.82;0.6912751677852349;7;High;True;False
8.8;0.37;0.48;2.1;0.097;39.0;145.0;0.9600762286088279;3.04;1.03;0.6241610738255033;5;Medium;True;False
6.8;0.5;0.11;1.5;0.075;16.0;49.0;0.9581031396177019;3.36;0.79;0.6375838926174496;5;Medium;True;False
7.0;0.42;0.35;1.6;0.088;16.0;39.0;0.9587287532002541;3.34;0.55;0.6174496644295301;5;Medium;True;False
7.0;0.43;0.36;1.6;0.089;14.0;37.0;0.9587768773219888;3.34;0.56;0.6174496644295301;6;Medium;True;False
12.8;0.3;0.74;2.6;0.095;9.0;28.0;0.9619049452347495;3.2;0.77;0.7248322147651007;7;High;True;False
7.8;0.57;0.31;1.8;0.069;26.0;120.0;0.9588731255654583;3.29;0.53;0.6241610738255033;5;Medium;True;False
7.8;0.44;0.28;2.7;0.1;18.0;95.0;0.9592099944176019;3.22;0.67;0.6308724832214765;5;Medium;True;False
11.0;0.3;0.58;2.1;0.054;7.0;19.0;0.9605574698261756;3.31;0.88;0.7046979865771812;7;High;True;False
9.7;0.53;0.6;2.0;0.039;5.0;19.0;0.9584881325915802;3.3;0.86;0.8322147651006712;6;Medium;True;False
8.0;0.725;0.24;2.8;0.083;10.0;62.0;0.9594506150262758;3.35;0.56;0.6711409395973155;6;Medium;True;False
11.6;0.44;0.64;2.1;0.059;5.0;15.0;0.9605574698261756;3.21;0.67;0.6845637583892616;6;Medium;True;False
8.2;0.57;0.26;2.2;0.06;28.0;65.0;0.958536256713315;3.3;0.43;0.6778523489932885;5;Medium;True;False
7.8;0.735;0.08;2.4;0.092;10.0;41.0;0.9599799803653583;3.24;0.71;0.6577181208053692;6;Medium;True;False
7.0;0.49;0.49;5.6;0.06;26.0;121.0;0.9599799803653583;3.34;0.76;0.7046979865771812;5;Medium;True;False
8.7;0.625;0.16;2.0;0.101;13.0;49.0;0.9588250014437236;3.14;0.57;0.7382550335570469;5;Medium;True;False
8.1;0.725;0.22;2.2;0.072;11.0;41.0;0.9593062426610715;3.36;0.55;0.610738255033557;5;Medium;True;False
7.5;0.49;0.19;1.9;0.076;10.0;44.0;0.9583437602263759;3.39;0.54;0.6510067114093959;5;Medium;True;False
7.8;0.53;0.33;2.4;0.08;24.0;144.0;0.9591618702958671;3.3;0.6;0.6375838926174496;5;Medium;True;False
7.8;0.34;0.37;2.0;0.082;24.0;58.0;0.9590174979306627;3.34;0.59;0.6308724832214765;6;Medium;True;False
7.4;0.53;0.26;2.0;0.101;16.0;72.0;0.9583437602263759;3.15;0.57;0.6308724832214765;5;Medium;True;False
6.8;0.61;0.04;1.5;0.057;5.0;10.0;0.9579106431307628;3.42;0.6;0.6375838926174496;5;Medium;True;False
8.6;0.645;0.25;2.0;0.083;8.0;28.0;0.96070184219138;3.28;0.6;0.6711409395973155;6;Medium;True;False
8.4;0.635;0.36;2.0;0.089;15.0;55.0;0.9600281044870931;3.31;0.57;0.697986577181208;4;Low;True;False
7.7;0.43;0.25;2.6;0.073;29.0;63.0;0.9587768773219888;3.37;0.58;0.7046979865771812;6;Medium;True;False
8.9;0.59;0.5;2.0;0.337;27.0;81.0;0.9590174979306627;3.04;1.61;0.6375838926174496;6;Medium;True;False
9.0;0.82;0.14;2.6;0.089;9.0;23.0;0.9609424628000538;3.39;0.63;0.6577181208053692;5;Medium;True;False
6.9;0.52;0.25;2.6;0.081;10.0;37.0;0.9594506150262758;3.46;0.5;0.7382550335570469;5;Medium;True;False
5.2;0.48;0.04;1.6;0.054;19.0;106.0;0.9554563129222892;3.54;0.62;0.8187919463087248;7;High;True;False
8.0;0.38;0.06;1.8;0.078;12.0;49.0;0.9588731255654583;3.37;0.52;0.6644295302013423;6;Medium;True;False
8.5;0.37;0.2;2.8;0.09;18.0;58.0;0.9605574698261756;3.34;0.7;0.6442953020134228;6;Medium;True;False
8.2;1.0;0.09;2.3;0.065;7.0;37.0;0.9594506150262758;3.32;0.55;0.6040268456375839;6;Medium;True;False
7.2;0.63;0.0;1.9;0.097;14.0;38.0;0.9593543667828063;3.37;0.58;0.6040268456375839;6;Medium;True;False
7.2;0.645;0.0;1.9;0.097;15.0;39.0;0.9593543667828063;3.37;0.58;0.6174496644295301;6;Medium;True;False
8.9;0.635;0.37;1.7;0.263;5.0;62.0;0.9596912356349496;3.0;1.09;0.6241610738255033;5;Medium;True;False
12.0;0.38;0.56;2.1;0.093;6.0;24.0;0.9617605728695451;3.14;0.71;0.7315436241610739;6;Medium;True;False
7.7;0.58;0.1;1.8;0.102;28.0;109.0;0.9582956361046411;3.08;0.49;0.6577181208053692;6;Medium;True;False
15.0;0.21;0.44;2.2;0.075;10.0;24.0;0.9625305588173017;3.07;0.84;0.6174496644295301;7;High;True;False
7.3;0.66;0.0;2.0;0.084;6.0;23.0;0.9608462145565843;3.61;0.96;0.6644295302013423;6;Medium;True;False
7.1;0.68;0.07;1.9;0.075;16.0;51.0;0.9594506150262758;3.38;0.52;0.6375838926174496;5;Medium;True;False
